vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
CMT,2013-04-04 18:47:45,2013-04-04 19:00:25,1,2.5,-73.957855,40.76532,1,M,-73.976274,40.785647,CRD,11,1,0.5,2.5,0,15
CMT,2013-04-05 07:08:34,2013-04-05 07:17:34,1,1.6,0,0,1,M,0,0,CRD,8.5,0,0.5,1.8,0,10.8
CMT,2013-04-04 17:59:50,2013-04-04 18:21:48,1,3.6,-73.982876,40.754989,1,M,-74.009182,40.715375,CRD,16.5,1,0.5,3.6,0,21.6
CMT,2013-04-04 18:12:01,2013-04-04 18:25:24,1,1.9,-73.978117,40.763449,1,M,-73.955669,40.776641,CRD,10,1,0.5,3.45,0,14.95
CMT,2013-04-04 20:12:57,2013-04-04 20:29:55,1,3.6,-74.006369,40.744756,1,M,-73.96166,40.76108,CRD,15,0.5,0.5,3.2,0,19.2
CMT,2013-04-05 02:48:11,2013-04-05 02:51:21,1,0.7,-73.985195,40.754933,1,M,-73.990778,40.747996,CRD,4.5,0.5,0.5,1.1,0,6.6
CMT,2013-04-05 06:16:10,2013-04-05 06:22:05,1,1.2,-73.985167,40.763421,1,M,-73.978869,40.751143,CRD,6.5,0,0.5,1,0,8
CMT,2013-04-05 06:20:10,2013-04-05 06:27:43,1,1.6,-73.980028,40.745786,1,M,-74.002744,40.756167,CRD,8,0,0.5,2.1,0,10.6
CMT,2013-04-04 19:20:16,2013-04-04 19:30:52,1,0.4,-73.978476,40.76123,1,M,-73.984566,40.759414,CRD,7.5,1,0.5,2.25,0,11.25
